chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
/home/celia/jfreechart/CSVWriter.java,CSVWriter.java,57,26,0.45614034,3,0.15204678
/home/celia/jfreechart/LOCMetrics.java,LOCMetrics.java,85,33,0.3882353,13,0.029864253
/home/celia/jfreechart/experimental/org/jfree/experimental/chart/renderer/xy/XYSmoothLineAndShapeRenderer.java,XYSmoothLineAndShapeRenderer.java,263,112,0.42585552,12,0.03548796
/home/celia/jfreechart/experimental/org/jfree/experimental/chart/plot/CombinedXYPlot.java,CombinedXYPlot.java,122,74,0.60655737,9,0.06739526
/home/celia/jfreechart/experimental/org/jfree/experimental/chart/plot/CombinedCategoryPlot.java,CombinedCategoryPlot.java,122,74,0.60655737,9,0.06739526
/home/celia/jfreechart/experimental/org/jfree/experimental/chart/demo/CombinedXYPlotDemo1.java,CombinedXYPlotDemo1.java,240,83,0.34583333,8,0.043229166
/home/celia/jfreechart/experimental/org/jfree/experimental/chart/demo/CombinedCategoryPlotDemo1.java,CombinedCategoryPlotDemo1.java,196,72,0.36734694,6,0.06122449
/home/celia/jfreechart/source/org/jfree/data/xy/MatrixSeriesCollection.java,MatrixSeriesCollection.java,282,181,0.641844,24,0.0267435
/home/celia/jfreechart/source/org/jfree/data/xy/XIntervalSeries.java,XIntervalSeries.java,145,111,0.76551723,7,0.10935961
/home/celia/jfreechart/source/org/jfree/data/xy/XYBarDataset.java,XYBarDataset.java,353,248,0.7025496,29,0.024225848
/home/celia/jfreechart/source/org/jfree/data/xy/XisSymbolic.java,XisSymbolic.java,73,67,0.91780823,1,0.91780823
/home/celia/jfreechart/source/org/jfree/data/xy/IntervalXYDelegate.java,IntervalXYDelegate.java,448,274,0.61160713,40,0.015290178
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultOHLCDataset.java,DefaultOHLCDataset.java,312,202,0.6474359,29,0.022325376
/home/celia/jfreechart/source/org/jfree/data/xy/YIntervalSeriesCollection.java,YIntervalSeriesCollection.java,325,216,0.6646154,26,0.02556213
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultXYZDataset.java,DefaultXYZDataset.java,405,255,0.6296296,33,0.019079685
/home/celia/jfreechart/source/org/jfree/data/xy/XYRangeInfo.java,XYRangeInfo.java,63,56,0.8888889,1,0.8888889
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultWindDataset.java,DefaultWindDataset.java,397,224,0.56423175,39,0.014467481
/home/celia/jfreechart/source/org/jfree/data/xy/XYIntervalSeries.java,XYIntervalSeries.java,178,135,0.75842696,8,0.09480337
/home/celia/jfreechart/source/org/jfree/data/xy/OHLCDataset.java,OHLCDataset.java,149,136,0.9127517,1,0.9127517
/home/celia/jfreechart/source/org/jfree/data/xy/XYDomainInfo.java,XYDomainInfo.java,62,55,0.88709676,1,0.88709676
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultTableXYDataset.java,DefaultTableXYDataset.java,596,315,0.5285235,66,0.0080079315
/home/celia/jfreechart/source/org/jfree/data/xy/IntervalXYDataset.java,IntervalXYDataset.java,144,133,0.9236111,1,0.9236111
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultHighLowDataset.java,DefaultHighLowDataset.java,395,260,0.65822786,33,0.0199463
/home/celia/jfreechart/source/org/jfree/data/xy/XIntervalSeriesCollection.java,XIntervalSeriesCollection.java,327,214,0.65443426,26,0.025170548
/home/celia/jfreechart/source/org/jfree/data/xy/CategoryTableXYDataset.java,CategoryTableXYDataset.java,381,255,0.6692913,33,0.020281555
/home/celia/jfreechart/source/org/jfree/data/xy/XYCoordinate.java,XYCoordinate.java,158,92,0.5822785,15,0.038818564
/home/celia/jfreechart/source/org/jfree/data/xy/XYDataItem.java,XYDataItem.java,246,152,0.6178862,21,0.029423151
/home/celia/jfreechart/source/org/jfree/data/xy/AbstractXYDataset.java,AbstractXYDataset.java,92,67,0.7282609,5,0.14565217
/home/celia/jfreechart/source/org/jfree/data/xy/OHLCDataItem.java,OHLCDataItem.java,186,115,0.6182796,16,0.038642474
/home/celia/jfreechart/source/org/jfree/data/xy/Vector.java,Vector.java,133,88,0.6616541,11,0.060150374
/home/celia/jfreechart/source/org/jfree/data/xy/XYSeriesCollection.java,XYSeriesCollection.java,713,354,0.4964937,79,0.0062847305
/home/celia/jfreechart/source/org/jfree/data/xy/XYZDataset.java,XYZDataset.java,67,62,0.92537314,1,0.92537314
/home/celia/jfreechart/source/org/jfree/data/xy/YInterval.java,YInterval.java,117,79,0.6752137,10,0.06752137
/home/celia/jfreechart/source/org/jfree/data/xy/XYDatasetTableModel.java,XYDatasetTableModel.java,234,169,0.7222222,17,0.042483658
/home/celia/jfreechart/source/org/jfree/data/xy/MatrixSeries.java,MatrixSeries.java,208,136,0.65384614,20,0.032692306
/home/celia/jfreechart/source/org/jfree/data/xy/YIntervalSeries.java,YIntervalSeries.java,147,113,0.76870745,7,0.10981535
/home/celia/jfreechart/source/org/jfree/data/xy/NormalizedMatrixSeries.java,NormalizedMatrixSeries.java,133,103,0.7744361,6,0.12907268
/home/celia/jfreechart/source/org/jfree/data/xy/YisSymbolic.java,YisSymbolic.java,74,68,0.9189189,1,0.9189189
/home/celia/jfreechart/source/org/jfree/data/xy/AbstractIntervalXYDataset.java,AbstractIntervalXYDataset.java,118,82,0.69491524,8,0.086864404
/home/celia/jfreechart/source/org/jfree/data/xy/VectorDataItem.java,VectorDataItem.java,117,81,0.6923077,8,0.086538464
/home/celia/jfreechart/source/org/jfree/data/xy/YIntervalDataItem.java,YIntervalDataItem.java,109,72,0.6605505,8,0.08256881
/home/celia/jfreechart/source/org/jfree/data/xy/WindDataset.java,WindDataset.java,72,67,0.9305556,1,0.9305556
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultXYDataset.java,DefaultXYDataset.java,353,219,0.6203966,30,0.020679887
/home/celia/jfreechart/source/org/jfree/data/xy/XYIntervalSeriesCollection.java,XYIntervalSeriesCollection.java,352,234,0.66477275,29,0.022923198
/home/celia/jfreechart/source/org/jfree/data/xy/XYInterval.java,XYInterval.java,148,94,0.6351351,13,0.04885655
/home/celia/jfreechart/source/org/jfree/data/xy/DefaultIntervalXYDataset.java,DefaultIntervalXYDataset.java,524,340,0.648855,38,0.01707513
/home/celia/jfreechart/source/org/jfree/data/xy/VectorXYDataset.java,VectorXYDataset.java,83,77,0.92771083,1,0.92771083
/home/celia/jfreechart/source/org/jfree/data/xy/XIntervalDataItem.java,XIntervalDataItem.java,109,72,0.6605505,8,0.08256881
/home/celia/jfreechart/source/org/jfree/data/xy/XYSeries.java,XYSeries.java,938,522,0.5565032,93,0.005983905
/home/celia/jfreechart/source/org/jfree/data/xy/VectorSeries.java,VectorSeries.java,158,118,0.7468355,8,0.093354434
/home/celia/jfreechart/source/org/jfree/data/xy/YWithXInterval.java,YWithXInterval.java,121,83,0.6859504,10,0.06859504
/home/celia/jfreechart/source/org/jfree/data/xy/VectorSeriesCollection.java,VectorSeriesCollection.java,298,196,0.6577181,23,0.02859644
/home/celia/jfreechart/source/org/jfree/data/xy/XYIntervalDataItem.java,XYIntervalDataItem.java,140,84,0.6,11,0.05454546
/home/celia/jfreechart/source/org/jfree/data/xy/TableXYDataset.java,TableXYDataset.java,57,53,0.9298246,1,0.9298246
/home/celia/jfreechart/source/org/jfree/data/xy/IntervalXYZDataset.java,IntervalXYZDataset.java,100,91,0.91,1,0.91
/home/celia/jfreechart/source/org/jfree/data/xy/XYDataset.java,XYDataset.java,119,108,0.90756303,1,0.90756303
