chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
/home/celia/jfreechart/swt/org/jfree/experimental/swt/SWTUtils.java,SWTUtils.java,351,174,0.4957265,21,0.023606023
/home/celia/jfreechart/swt/org/jfree/experimental/swt/SWTGraphics2D.java,SWTGraphics2D.java,918,419,0.456427,86,0.0053072907
/home/celia/jfreechart/swt/org/jfree/experimental/swt/SWTPaintCanvas.java,SWTPaintCanvas.java,124,78,0.62903225,9,0.06989247
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTTitleEditor.java,SWTTitleEditor.java,242,99,0.4090909,12,0.03409091
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTNumberAxisEditor.java,SWTNumberAxisEditor.java,227,101,0.44493392,13,0.034225687
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTChartEditor.java,SWTChartEditor.java,151,69,0.45695364,6,0.07615894
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTStrokeCanvas.java,SWTStrokeCanvas.java,116,65,0.5603448,7,0.08004926
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTPlotEditor.java,SWTPlotEditor.java,195,84,0.43076923,15,0.028717948
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTOtherEditor.java,SWTOtherEditor.java,130,61,0.46923077,3,0.15641026
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTAxisEditor.java,SWTAxisEditor.java,338,140,0.41420117,19,0.021800062
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/editor/SWTPlotAppearanceEditor.java,SWTPlotAppearanceEditor.java,250,78,0.312,14,0.022285715
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/ChartComposite.java,ChartComposite.java,1482,570,0.3846154,124,0.003101737
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTPieChartDemo1.java,SWTPieChartDemo1.java,116,63,0.54310346,4,0.13577586
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTMultipleAxisDemo1.java,SWTMultipleAxisDemo1.java,197,71,0.3604061,5,0.07208122
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTTimeSeriesDemo.java,SWTTimeSeriesDemo.java,172,68,0.39534885,6,0.065891474
/home/celia/jfreechart/swt/org/jfree/experimental/chart/swt/demo/SWTBarChartDemo1.java,SWTBarChartDemo1.java,159,77,0.48427674,4,0.121069185
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultKeyedValues2DDatasetTests.java,DefaultKeyedValues2DDatasetTests.java,118,60,0.5084746,4,0.12711865
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DatasetUtilitiesTests.java,DatasetUtilitiesTests.java,484,170,0.35123968,33,0.010643627
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultKeyedValuesDatasetTests.java,DefaultKeyedValuesDatasetTests.java,119,60,0.5042017,4,0.12605043
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultPieDatasetTests.java,DefaultPieDatasetTests.java,188,72,0.38297874,8,0.047872342
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DataGeneralPackageTests.java,DataGeneralPackageTests.java,84,62,0.7380952,3,0.24603175
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DatasetGroupTests.java,DatasetGroupTests.java,95,57,0.6,3,0.2
/home/celia/jfreechart/tests/org/jfree/data/general/junit/DefaultKeyedValueDatasetTests.java,DefaultKeyedValueDatasetTests.java,149,66,0.44295302,6,0.0738255
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/CategoryTableXYDatasetTests.java,CategoryTableXYDatasetTests.java,166,70,0.42168674,6,0.070281126
/home/celia/jfreechart/tests/org/jfree/data/xy/junit/VectorSeriesTests.java,VectorSeriesTests.java,252,92,0.36507937,12,0.030423282
