chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
/home/celia/jfreechart/CSVWriter.java,CSVWriter.java,57,26,0.45614034,3,0.15204678
/home/celia/jfreechart/src/test/java/org/jfree/data/DomainOrderTest.java,DomainOrderTest.java,83,47,0.56626505,3,0.18875502
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XYDataItemTest.java,XYDataItemTest.java,79,47,0.5949367,3,0.19831224
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultTableXYDatasetTest.java,DefaultTableXYDatasetTest.java,171,60,0.3508772,6,0.058479533
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XIntervalSeriesTest.java,XIntervalSeriesTest.java,264,90,0.3409091,14,0.024350649
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultHighLowDatasetTest.java,DefaultHighLowDatasetTest.java,161,50,0.310559,4,0.07763975
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultXYZDatasetTest.java,DefaultXYZDatasetTest.java,201,85,0.42288557,8,0.052860696
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XYSeriesTest.java,XYSeriesTest.java,672,160,0.23809524,36,0.0066137565
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XYIntervalDataItemTest.java,XYIntervalDataItemTest.java,124,56,0.4516129,4,0.11290322
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultXYDatasetTest.java,DefaultXYDatasetTest.java,195,85,0.43589744,8,0.05448718
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XIntervalSeriesCollectionTest.java,XIntervalSeriesCollectionTest.java,149,69,0.46308726,6,0.07718121
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/TableXYDatasetTest.java,TableXYDatasetTest.java,235,102,0.43404254,13,0.03338789
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/CategoryTableXYDatasetTest.java,CategoryTableXYDatasetTest.java,162,61,0.37654322,6,0.0627572
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/YIntervalSeriesCollectionTest.java,YIntervalSeriesCollectionTest.java,150,69,0.46,6,0.07666667
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/YIntervalSeriesTest.java,YIntervalSeriesTest.java,242,84,0.34710744,12,0.02892562
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XYIntervalSeriesTest.java,XYIntervalSeriesTest.java,256,87,0.33984375,13,0.026141826
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/YIntervalTest.java,YIntervalTest.java,82,47,0.5731707,3,0.1910569
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/OHLCDataItemTest.java,OHLCDataItemTest.java,74,47,0.6351351,3,0.2117117
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/VectorDataItemTest.java,VectorDataItemTest.java,104,51,0.4903846,4,0.12259615
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/MatrixSeriesTest.java,MatrixSeriesTest.java,144,56,0.3888889,6,0.06481481
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/YIntervalDataItemTest.java,YIntervalDataItemTest.java,112,59,0.52678573,4,0.13169643
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/VectorSeriesTest.java,VectorSeriesTest.java,246,86,0.3495935,12,0.02913279
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultWindDatasetTest.java,DefaultWindDatasetTest.java,167,89,0.5329341,8,0.066616766
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultIntervalXYDatasetTest.java,DefaultIntervalXYDatasetTest.java,318,113,0.3553459,17,0.0209027
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/DefaultOHLCDatasetTest.java,DefaultOHLCDatasetTest.java,135,57,0.42222223,6,0.07037037
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/YWithXIntervalTest.java,YWithXIntervalTest.java,82,47,0.5731707,3,0.1910569
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XYIntervalTest.java,XYIntervalTest.java,90,47,0.5222222,3,0.17407407
/home/celia/jfreechart/src/test/java/org/jfree/data/xy/XYSeriesCollectionTest.java,XYSeriesCollectionTest.java,404,108,0.26732674,16,0.016707921
