chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WMP, paquet_BC
jfreechart/src/main/java/org/jfree/chart/urls,jfreechart/src/main/java/org/jfree/chart/urls,1512,966,0.6388889,119,0.0053688143
jfreechart/src/main/java/org/jfree/chart/plot/pie,jfreechart/src/main/java/org/jfree/chart/plot/pie,4200,2150,0.5119048,442,0.0011581556
jfreechart/src/main/java/org/jfree/chart/plot/flow,jfreechart/src/main/java/org/jfree/chart/plot/flow,741,308,0.4156545,91,0.004567632
jfreechart/src/main/java/org/jfree/chart/plot/dial,jfreechart/src/main/java/org/jfree/chart/plot/dial,5308,3112,0.5862849,546,0.0010737819
jfreechart/src/main/java/org/jfree/chart/plot/compass,jfreechart/src/main/java/org/jfree/chart/plot/compass,2267,1201,0.529775,223,0.0023756728
jfreechart/src/main/java/org/jfree/chart/plot,jfreechart/src/main/java/org/jfree/chart/plot,24399,12381,0.50743884,4126,1.2298566E-4
jfreechart/src/main/java/org/jfree/chart/block,jfreechart/src/main/java/org/jfree/chart/block,4856,2629,0.5413921,469,0.0011543541
jfreechart/src/main/java/org/jfree/chart/text/format,jfreechart/src/main/java/org/jfree/chart/text/format,928,572,0.6163793,112,0.0055033867
jfreechart/src/main/java/org/jfree/chart/text,jfreechart/src/main/java/org/jfree/chart/text,2162,1168,0.5402405,330,0.0016370926
jfreechart/src/main/java/org/jfree/chart/api,jfreechart/src/main/java/org/jfree/chart/api,1314,867,0.65981734,68,0.009703197
jfreechart/src/main/java/org/jfree/chart/event,jfreechart/src/main/java/org/jfree/chart/event,1094,947,0.8656307,44,0.019673424
jfreechart/src/main/java/org/jfree/chart/imagemap,jfreechart/src/main/java/org/jfree/chart/imagemap,639,461,0.7214398,34,0.021218818
jfreechart/src/main/java/org/jfree/chart/encoders,jfreechart/src/main/java/org/jfree/chart/encoders,728,533,0.73214287,49,0.014941691
jfreechart/src/main/java/org/jfree/chart/labels,jfreechart/src/main/java/org/jfree/chart/labels,5308,3352,0.63149965,551,0.0011460973
jfreechart/src/main/java/org/jfree/chart/swing/editor,jfreechart/src/main/java/org/jfree/chart/swing/editor,3408,1592,0.46713614,291,0.0016052788
jfreechart/src/main/java/org/jfree/chart/swing,jfreechart/src/main/java/org/jfree/chart/swing,4896,2445,0.49938726,811,6.1576726E-4
jfreechart/src/main/java/org/jfree/chart/util,jfreechart/src/main/java/org/jfree/chart/util,1656,951,0.5742754,139,0.0041314773
jfreechart/src/main/java/org/jfree/chart/entity,jfreechart/src/main/java/org/jfree/chart/entity,2470,1594,0.64534414,203,0.0031790351
jfreechart/src/main/java/org/jfree/chart,jfreechart/src/main/java/org/jfree/chart,6414,3324,0.51824135,14062,3.6854028E-5
jfreechart/src/main/java,jfreechart/src/main/java,43,3,0.069767445,18420,3.787592E-6
